읍면동명,기타,질병,질병외
가락동,147.0,1749.0,2205.0
가리봉동,51.0,449.0,613.0
가산동,117.0,975.0,1397.0
가양동,89.0,1695.0,1422.0
가회동,3.0,25.0,38.0
갈월동,14.0,125.0,251.0
갈현동,89.0,1387.0,1311.0
강일동,41.0,875.0,695.0
개봉동,130.0,2456.0,1835.0
개포동,217.0,1163.0,1260.0
개화동,11.0,121.0,264.0
거여동,35.0,888.0,828.0
견지동,5.0,16.0,37.0
경운동,10.0,59.0,76.0
계동,1.0,52.0,53.0
고덕동,55.0,794.0,711.0
고척동,142.0,1562.0,1151.0
공덕동,38.0,632.0,668.0
공릉동,424.0,2262.0,1617.0
공평동,5.0,28.0,43.0
공항동,50.0,612.0,490.0
과해동,4.0,40.0,40.0
관수동,29.0,248.0,60.0
관철동,35.0,73.0,138.0
관훈동,11.0,48.0,52.0
광장동,39.0,538.0,622.0
광희동1가,14.0,47.0,92.0
광희동2가,13.0,57.0,41.0
교남동,3.0,11.0,14.0
교북동,1.0,23.0,40.0
구기동,8.0,141.0,159.0
구로동,366.0,3505.0,4022.0
구산동,27.0,830.0,592.0
구수동,2.0,28.0,32.0
구의동,169.0,1873.0,1706.0
군자동,50.0,560.0,609.0
궁동,26.0,449.0,353.0
궁정동,3.0,15.0,19.0
권농동,2.0,17.0,10.0
금호동1가,24.0,381.0,275.0
금호동2가,23.0,224.0,161.0
금호동3가,15.0,295.0,228.0
금호동4가,27.0,355.0,401.0
길동,186.0,1295.0,1127.0
길음동,63.0,1007.0,738.0
낙원동,118.0,248.0,353.0
남가좌동,83.0,1130.0,931.0
남대문로1가,1.0,7.0,10.0
남대문로2가,4.0,11.0,24.0
남대문로3가,5.0,14.0,42.0
남대문로4가,17.0,424.0,68.0
남대문로5가,18.0,176.0,408.0
남산동1가,7.0,8.0,12.0
남산동2가,2.0,21.0,33.0
남산동3가,X,11.0,16.0
남영동,7.0,51.0,105.0
남창동,14.0,59.0,140.0
남학동,X,1.0,6.0
남현동,52.0,431.0,505.0
내곡동,12.0,181.0,277.0
내발산동,45.0,984.0,686.0
내수동,6.0,79.0,44.0
내자동,10.0,32.0,62.0
냉천동,4.0,59.0,64.0
노고산동,38.0,281.0,403.0
노량진동,55.0,1009.0,1146.0
녹번동,42.0,952.0,964.0
논현동,312.0,1543.0,2744.0
누상동,2.0,89.0,44.0
누하동,X,30.0,24.0
능동,45.0,341.0,357.0
다동,16.0,56.0,54.0
답십리동,160.0,1431.0,1261.0
당산동,19.0,134.0,398.0
당산동1가,22.0,205.0,242.0
당산동2가,8.0,98.0,119.0
당산동3가,25.0,330.0,433.0
당산동4가,11.0,206.0,174.0
당산동5가,16.0,254.0,280.0
당산동6가,25.0,143.0,228.0
당인동,1.0,21.0,30.0
당주동,12.0,48.0,45.0
대림동,143.0,1641.0,2092.0
대방동,62.0,779.0,794.0
대신동,10.0,185.0,157.0
대조동,60.0,812.0,916.0
대치동,210.0,1404.0,1936.0
대현동,31.0,185.0,248.0
대흥동,31.0,360.0,440.0
도곡동,123.0,893.0,1157.0
도렴동,1.0,15.0,16.0
도림동,25.0,445.0,480.0
도봉동,170.0,1572.0,1462.0
도선동,14.0,147.0,191.0
도원동,8.0,136.0,67.0
도화동,34.0,582.0,639.0
독산동,281.0,2826.0,3107.0
돈암동,38.0,815.0,591.0
돈의동,55.0,184.0,192.0
동교동,52.0,332.0,634.0
동빙고동,3.0,96.0,114.0
동선동1가,19.0,83.0,174.0
