동이름,위도,경도,동
Sillim-dong,37.4626,126.9383,신림동
Bongcheon-dong,37.4794,126.9536,봉천동
Hwagok-dong,37.5381,126.8471,화곡동
Sanggye-dong,37.6748,127.0731,상계동
Sinjeong-dong,37.5166,126.8639,신정동
Guro-dong,37.4952,126.8821,구로동
Mia-dong,37.6268,127.0269,미아동
Myeonmok-dong,37.5811,127.0884,면목동
Suyu-dong,37.6387,127.0089,수유동
Sinwol-dong,37.52,126.8366,신월동
Yeoksam-dong,37.4999,127.0374,역삼동
Seocho-dong,37.4877,127.0174,서초동
Siheung-dong,37.4493,126.9105,시흥동
Doksan-dong,37.4681,126.8982,독산동
Mok-dong,37.537,126.8735,목동
Cheonho-dong,37.544,127.1256,천호동
Changdong,37.6528,127.0479,창동
Singil-dong,37.5062,126.914,신길동
Jayang-dong,37.5349,127.0744,자양동
Deungchon-dong,37.5587,126.8533,등촌동
