읍면동명,가을,겨울,봄,여름
가락동,785.0,649.0,655.0,715.0
가리봉동,206.0,141.0,141.0,182.0
가산동,457.0,300.0,339.0,449.0
가양동,625.0,522.0,553.0,661.0
가회동,12.0,13.0,6.0,10.0
갈월동,51.0,50.0,49.0,53.0
갈현동,576.0,504.0,462.0,545.0
강일동,329.0,243.0,317.0,338.0
개봉동,1003.0,701.0,713.0,874.0
개포동,464.0,416.0,439.0,532.0
개화동,62.0,47.0,58.0,74.0
거여동,390.0,270.0,295.0,327.0
견지동,10.0,9.0,12.0,7.0
경운동,27.0,16.0,23.0,31.0
계동,23.0,12.0,18.0,15.0
고덕동,337.0,238.0,287.0,352.0
고척동,697.0,433.0,459.0,553.0
공덕동,272.0,197.0,230.0,264.0
공릉동,910.0,758.0,958.0,1055.0
공평동,15.0,9.0,8.0,15.0
공항동,219.0,184.0,215.0,224.0
과해동,16.0,17.0,16.0,14.0
관수동,66.0,20.0,14.0,199.0
관철동,43.0,41.0,40.0,38.0
관훈동,25.0,19.0,18.0,20.0
광장동,231.0,193.0,183.0,251.0
광희동1가,26.0,19.0,25.0,35.0
광희동2가,21.0,9.0,22.0,34.0
교남동,4.0,8.0,6.0,5.0
교북동,12.0,11.0,6.0,15.0
구기동,67.0,62.0,49.0,67.0
구로동,1412.0,1079.0,1150.0,1335.0
구산동,274.0,263.0,263.0,324.0
구수동,15.0,7.0,12.0,15.0
구의동,825.0,642.0,663.0,781.0
군자동,255.0,209.0,216.0,230.0
궁동,149.0,143.0,147.0,139.0
궁정동,3.0,11.0,8.0,6.0
권농동,12.0,5.0,2.0,4.0
금호동1가,158.0,115.0,130.0,158.0
금호동2가,80.0,62.0,59.0,99.0
금호동3가,107.0,96.0,105.0,117.0
금호동4가,156.0,142.0,128.0,134.0
길동,589.0,442.0,455.0,499.0
길음동,420.0,340.0,389.0,345.0
낙원동,188.0,100.0,125.0,114.0
남가좌동,430.0,345.0,420.0,447.0
남대문로1가,6.0,5.0,1.0,3.0
남대문로2가,8.0,6.0,6.0,5.0
남대문로3가,9.0,14.0,5.0,6.0
남대문로4가,258.0,58.0,9.0,137.0
남대문로5가,62.0,72.0,95.0,78.0
남산동1가,6.0,3.0,3.0,4.0
남산동2가,11.0,6.0,13.0,10.0
남산동3가,2.0,3.0,6.0,2.0
남영동,28.0,16.0,21.0,23.0
남창동,33.0,24.0,38.0,29.0
남학동,1.0,1.0,,3.0
남현동,169.0,185.0,169.0,207.0
내곡동,82.0,72.0,50.0,87.0
내발산동,323.0,308.0,346.0,339.0
내수동,28.0,24.0,33.0,18.0
내자동,24.0,15.0,12.0,19.0
냉천동,20.0,22.0,34.0,29.0
