읍면동명,남,미상,여
가락동,1708.0,1232.0,1161.0
가리봉동,447.0,406.0,260.0
가산동,981.0,865.0,643.0
가양동,1296.0,783.0,1127.0
가회동,21.0,23.0,22.0
갈월동,125.0,183.0,82.0
갈현동,1031.0,648.0,1108.0
강일동,666.0,368.0,577.0
개봉동,1702.0,1034.0,1685.0
개포동,927.0,748.0,965.0
개화동,146.0,152.0,98.0
거여동,705.0,440.0,606.0
견지동,29.0,18.0,11.0
경운동,68.0,40.0,37.0
계동,34.0,34.0,38.0
고덕동,644.0,327.0,589.0
고척동,1094.0,666.0,1095.0
공덕동,495.0,362.0,481.0
공릉동,1991.0,582.0,1730.0
공평동,30.0,24.0,22.0
공항동,515.0,276.0,361.0
과해동,33.0,21.0,30.0
관수동,169.0,23.0,145.0
관철동,106.0,62.0,78.0
관훈동,55.0,27.0,29.0
광장동,420.0,330.0,449.0
광희동1가,74.0,41.0,38.0
광희동2가,53.0,25.0,33.0
교남동,14.0,4.0,10.0
교북동,28.0,20.0,16.0
구기동,144.0,62.0,102.0
구로동,2726.0,2777.0,2390.0
구산동,561.0,309.0,579.0
구수동,28.0,11.0,23.0
구의동,1540.0,806.0,1402.0
군자동,495.0,293.0,431.0
궁동,318.0,215.0,295.0
궁정동,15.0,7.0,15.0
권농동,15.0,6.0,8.0
금호동1가,260.0,114.0,306.0
금호동2가,152.0,107.0,149.0
금호동3가,239.0,110.0,189.0
금호동4가,262.0,213.0,308.0
길동,1092.0,582.0,934.0
길음동,709.0,304.0,795.0
낙원동,457.0,143.0,119.0
남가좌동,885.0,468.0,791.0
남대문로1가,6.0,3.0,9.0
남대문로2가,12.0,10.0,17.0
남대문로3가,31.0,22.0,8.0
남대문로4가,239.0,42.0,228.0
남대문로5가,250.0,256.0,96.0
남산동1가,10.0,9.0,8.0
남산동2가,22.0,14.0,20.0
남산동3가,11.0,12.0,4.0
남영동,59.0,75.0,29.0
남창동,79.0,79.0,55.0
남학동,1.0,2.0,4.0
남현동,405.0,242.0,341.0
내곡동,171.0,169.0,130.0
내발산동,646.0,338.0,731.0
내수동,58.0,25.0,46.0
내자동,40.0,31.0,33.0
냉천동,63.0,20.0,44.0
노고산동,269.0,197.0,256.0
노량진동,954.0,463.0,793.0
녹번동,708.0,513.0,737.0
논현동,1530.0,1389.0,1680.0
누상동,39.0,17.0,79.0
누하동,21.0,11.0,22.0
능동,302.0,166.0,275.0
다동,74.0,21.0,31.0
답십리동,1230.0,504.0,1118.0
당산동,178.0,236.0,137.0
