읍면동명,신고건수
가락동,4101
가리봉동,1113
가산동,2489
가양동,3206
가회동,66
갈월동,390
갈현동,2787
강일동,1611
개봉동,4421
개포동,2640
개화동,396
거여동,1751
견지동,58
경운동,145
계동,106
고덕동,1560
고척동,2855
공덕동,1338
공릉동,4303
공평동,76
공항동,1152
과해동,84
관수동,337
관철동,246
관훈동,111
광장동,1199
광희동1가,153
광희동2가,111
교남동,28
교북동,64
구기동,308
구로동,7893
구산동,1449
구수동,62
구의동,3748
군자동,1219
궁동,828
궁정동,37
권농동,29
금호동1가,680
금호동2가,408
금호동3가,538
금호동4가,783
길동,2608
길음동,1808
낙원동,719
남가좌동,2144
남대문로1가,18
남대문로2가,39
남대문로3가,61
남대문로4가,509
남대문로5가,602
남산동1가,27
남산동2가,56
남산동3가,27
남영동,163
남창동,213
남학동,7
남현동,988
내곡동,470
내발산동,1715
내수동,129
내자동,104
냉천동,127
노고산동,722
노량진동,2210
녹번동,1958
논현동,4599
누상동,135
누하동,54
능동,743
다동,126
답십리동,2852
당산동,551
당산동1가,469
당산동2가,225
당산동3가,788
당산동4가,391
당산동5가,550
당산동6가,396
당인동,52
당주동,105
대림동,3876
대방동,1635
대신동,352
대조동,1788
대치동,3550
대현동,464
대흥동,831
도곡동,2173
도렴동,32
도림동,950
도봉동,3204
도선동,352
도원동,211
도화동,1255
독산동,6214
돈암동,1444
돈의동,431
동교동,1018
동빙고동,213
동선동1가,276
동선동2가,113
동선동3가,113
동선동4가,201
동선동5가,96
동소문동1가,83
동소문동2가,88
동소문동3가,77
동소문동4가,112
동소문동5가,166
동소문동6가,149
동소문동7가,103
동숭동,388
동자동,1449
동작동,429
둔촌동,1210
등촌동,4725
마곡동,3095
마장동,1101
마천동,2825
마포동,405
만리동1가,92
만리동2가,122
망우동,3431
망원동,2234
면목동,7749
명동1가,69
명동2가,108
명륜1가,213
명륜2가,161
명륜3가,263
명륜4가,133
명일동,1623
목동,5734
묘동,297
무교동,45
무악동,416
무학동,135
묵동,2314
묵정동,42
문래동1가,129
문래동2가,103
문래동3가,809
문래동4가,81
문래동5가,178
문래동6가,346
문배동,179
문정동,2839
미근동,131
미아동,7778
반포동,4190
방배동,4301
방산동,36
방이동,3006
방학동,4486
방화동,4254
번동,3869
보광동,835
보문동1가,68
보문동2가,109
보문동3가,97
보문동4가,73
보문동5가,118
보문동6가,187
보문동7가,125
본동,601
봉래동1가,48
봉래동2가,748
봉원동,30
봉익동,50
봉천동,11351
부암동,232
북가좌동,2364
북아현동,1455
북창동,207
불광동,3439
사간동,17
사근동,452
사당동,4623
사직동,170
산림동,23
산천동,147
삼각동,15
삼선동1가,255
삼선동2가,214
삼선동3가,161
삼선동4가,201
삼선동5가,241
삼성동,3156
삼전동,1416
삼청동,105
상계동,10111
상도1동,447
상도동,4613
상봉동,2813
상수동,443
상암동,2164
상왕십리동,287
상월곡동,454
상일동,1516
서계동,458
서교동,2551
서린동,69
서빙고동,380
서소문동,147
서초동,6576
석관동,1875
석촌동,1681
성내동,3823
성북동,543
성북동1가,106
성산동,3213
