코드,시도,시군구,읍면동,하위,위도,경도,코드종류
1111051500,서울특별시,종로구,청운효자동,,37.584009,126.970626,H
1111053000,서울특별시,종로구,사직동,,37.575408,126.965944,H
1111054000,서울특별시,종로구,삼청동,,37.590758,126.980996,H
1111055000,서울특별시,종로구,부암동,,37.594768,126.965574,H
1111056000,서울특별시,종로구,평창동,,37.613029,126.974485,H
1111057000,서울특별시,종로구,무악동,,37.577110,126.958562,H
1111058000,서울특별시,종로구,교남동,,37.568547,126.964454,H
1111060000,서울특별시,종로구,가회동,,37.582682,126.984831,H
1111061500,서울특별시,종로구,종로1.2.3.4가동,,37.570962,126.977881,H
1111063000,서울특별시,종로구,종로5.6가동,,37.573681,127.009292,H
1111064000,서울특별시,종로구,이화동,,37.577245,127.005622,H
1111065000,서울특별시,종로구,혜화동,,37.587817,127.001745,H
1111067000,서울특별시,종로구,창신제1동,,37.573172,126.979220,H
1111068000,서울특별시,종로구,창신제2동,,37.573172,126.979220,H
1111069000,서울특별시,종로구,창신제3동,,37.573172,126.979220,H
1111070000,서울특별시,종로구,숭인제1동,,37.573172,126.979220,H
1111071000,서울특별시,종로구,숭인제2동,,37.573172,126.979220,H
1114052000,서울특별시,중구,소공동,,37.564079,126.980046,H
1114054000,서울특별시,중구,회현동,,37.557288,126.979369,H
1114055000,서울특별시,중구,명동,,37.560029,126.985806,H
1114057000,서울특별시,중구,필동,,37.560148,126.995572,H
1114058000,서울특별시,중구,장충동,,37.561919,127.007818,H
1114059000,서울특별시,중구,광희동,,37.564445,127.005023,H
1114060500,서울특별시,중구,을지로동,,37.566690,126.991319,H
1114061500,서울특별시,중구,신당동,,37.557913,127.013655,H
1114062500,서울특별시,중구,다산동,,37.554398,127.008155,H
1114063500,서울특별시,중구,약수동,,37.552459,127.008973,H
1114064500,서울특별시,중구,청구동,,37.557074,127.014616,H
1114065000,서울특별시,중구,신당제5동,,37.563760,126.997459,H
1114066500,서울특별시,중구,동화동,,37.560042,127.019399,H
1114067000,서울특별시,중구,황학동,,37.568542,127.020827,H
1114068000,서울특별시,중구,중림동,,37.558842,126.966320,H
1117051000,서울특별시,용산구,후암동,,37.549901,126.980613,H
1117052000,서울특별시,용산구,용산2가동,,37.542884,126.985008,H
1117053000,서울특별시,용산구,남영동,,37.542865,126.973353,H
1117055500,서울특별시,용산구,청파동,,37.545502,126.969899,H
1117056000,서울특별시,용산구,원효로제1동,,37.532612,126.990182,H
1117057000,서울특별시,용산구,원효로제2동,,37.532612,126.990182,H
1117058000,서울특별시,용산구,효창동,,37.542828,126.960951,H
1117059000,서울특별시,용산구,용문동,,37.537663,126.959677,H
1117062500,서울특별시,용산구,한강로동,,37.529054,126.969503,H
1117063000,서울특별시,용산구,이촌제1동,,37.532612,126.990182,H
1117064000,서울특별시,용산구,이촌제2동,,37.532612,126.990182,H
1117065000,서울특별시,용산구,이태원제1동,,37.532612,126.990182,H
1117066000,서울특별시,용산구,이태원제2동,,37.532612,126.990182,H
1117068500,서울특별시,용산구,한남동,,37.537541,127.005165,H
1117069000,서울특별시,용산구,서빙고동,,37.518619,126.991299,H
1117070000,서울특별시,용산구,보광동,,37.526873,127.000917,H
1120052000,서울특별시,성동구,왕십리제2동,,37.563386,127.037047,H
1120053500,서울특별시,성동구,왕십리도선동,,37.565980,127.031444,H
1120054000,서울특별시,성동구,마장동,,37.567363,127.040731,H
1120055000,서울특별시,성동구,사근동,,37.558904,127.047597,H
1120056000,서울특별시,성동구,행당제1동,,37.563386,127.037047,H
1120057000,서울특별시,성동구,행당제2동,,37.563386,127.037047,H
1120058000,서울특별시,성동구,응봉동,,37.550935,127.033903,H
1120059000,서울특별시,성동구,금호1가동,,37.553509,127.023661,H
1120061500,서울특별시,성동구,금호2.3가동,,37.549549,127.019842,H
1120062000,서울특별시,성동구,금호4가동,,37.545404,127.024129,H
1120064500,서울특별시,성동구,옥수동,,37.540788,127.020624,H
1120065000,서울특별시,성동구,성수1가제1동,,37.543511,127.042746,H
1120066000,서울특별시,성동구,성수1가제2동,,37.543511,127.042746,H
1120067000,서울특별시,성동구,성수2가제1동,,37.540855,127.056517,H
1120069000,서울특별시,성동구,성수2가제3동,,37.540855,127.056517,H
1120072000,서울특별시,성동구,송정동,,37.553181,127.062066,H
1120079000,서울특별시,성동구,용답동,,37.561470,127.056348,H
1121571000,서울특별시,광진구,화양동,,37.543250,127.073393,H
1121573000,서울특별시,광진구,군자동,,37.553038,127.073657,H
1121574000,서울특별시,광진구,중곡제1동,,37.538210,127.082191,H
1121575000,서울특별시,광진구,중곡제2동,,37.538210,127.082191,H
1121576000,서울특별시,광진구,중곡제3동,,37.538210,127.082191,H
1121577000,서울특별시,광진구,중곡제4동,,37.538210,127.082191,H
1121578000,서울특별시,광진구,능동,,37.550578,127.081722,H
1121581000,서울특별시,광진구,광장동,,37.547835,127.104695,H
1121582000,서울특별시,광진구,자양제1동,,37.538210,127.082191,H
1121583000,서울특별시,광진구,자양제2동,,37.538210,127.082191,H
1121584000,서울특별시,광진구,자양제3동,,37.538210,127.082191,H
1121584700,서울특별시,광진구,자양제4동,,37.538210,127.082191,H
1121585000,서울특별시,광진구,구의제1동,,37.538210,127.082191,H
1121586000,서울특별시,광진구,구의제2동,,37.538210,127.082191,H
1121587000,서울특별시,광진구,구의제3동,,37.538210,127.082191,H
